AG-X,AG-Y,AG-Z,Acc-X,Axx-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos,activity
3.556256,8.216491,3.1527772,3.1539893,-0.8120575,0.83332276,0.8264649,9.573026,1.960744,2.1664424,0.063730046,-0.9003228,0.075658605,-0.6088012,-0.7688102,0.18046516,downstairs
-3.5056148,12.7678995,-0.29671192,-3.470808,2.9697485,-0.9404119,0.6771032,9.59271,1.9214171,1.1065052,2.250716,-0.33999416,0.10021623,-0.62609243,-0.75306153,0.17567958,downstairs
3.7191484,5.1406965,-1.513615,1.8536459,3.9481964,-4.646035,0.6679515,9.559459,2.0835018,-1.2296177,0.69436604,0.7028988,0.10462549,-0.6187281,-0.75679255,0.18301389,downstairs
-0.075289525,11.809709,-3.535399,-0.83963794,0.47433662,-6.5969105,0.83999187,9.45915,2.4473016,1.4910653,0.30661014,-0.08752671,0.10260316,-0.6032176,-0.7649919,0.20096916,downstairs
1.8027657,11.804917,-0.047582168,1.6162893,2.9864416,0.4915328,0.79328,9.627311,1.6899602,1.0734819,0.08183953,-0.2973836,0.10587081,-0.6329543,-0.7433619,0.18860891,downstairs
-0.18069059,7.5792937,0.6710614,-0.5351976,-2.1776657,-0.42824352,0.38458642,9.737303,1.0988243,1.0308715,0.30661014,-0.72135854,0.12533167,-0.65292525,-0.72690827,0.17200282,downstairs
0.6289811,8.935134,1.1118294,0.28559697,-0.79430676,0.38741273,0.07751312,9.780761,0.7078951,0.9594988,0.3161975,-0.8119059,0.142142,-0.6675522,-0.7141247,0.15554954,downstairs
1.7979747,8.178163,1.5238518,1.9181828,-1.6654568,1.4188386,-0.46990615,9.794454,0.13504842,0.48013029,0.25121644,-0.76396906,0.16182335,-0.6815984,-0.7006412,0.13542058,downstairs
1.8027657,7.2678814,1.8592187,2.6017673,-2.5604649,1.5663898,-0.7298365,9.779233,0.06571728,-0.018413082,0.34069857,-0.72988063,0.17100216,-0.68386084,-0.69770235,0.12768732,downstairs
2.2579067,6.5923567,0.6614795,3.3054085,-2.7738104,0.74755937,-1.0006381,9.754805,0.11359297,-0.16541946,0.64749444,-0.51256686,0.19032526,-0.67689085,-0.7003565,0.12286533,downstairs
1.7165284,7.540966,-0.26317525,2.6973708,-2.1140451,-0.23384582,-1.2617456,9.72072,0.29322127,-0.34971002,0.6112755,-0.41562787,0.19899312,-0.6715861,-0.70304054,0.12291387,downstairs
