AG-X,AG-Y,AG-Z,Acc-X,Acc-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos,activity
-0.94724375,9.179473,2.7838736,-0.09134984,-0.30272675,1.0150982,-0.77349544,9.584099,1.9279872,-0.34225318,0.22351958,-0.14931199,0.21935722,-0.59964776,-0.73994845,0.21161583,downstairs
-0.8418427,8.777033,2.5778623,0.06862044,-0.84012413,0.5417774,-0.8412488,9.560969,2.0126004,-0.37847212,0.18623535,-0.2686215,0.22437358,-0.5891031,-0.74687105,0.21165462,downstairs
-0.59271294,8.532694,3.2629693,0.24778932,-0.8347616,1.1974621,-1.0025566,9.503139,2.2035506,-0.31349105,0.04988163,-0.26436043,0.22773126,-0.58180726,-0.7519897,0.2101197,downstairs
-0.5400124,8.484784,3.2342234,0.5354913,-0.90997696,0.87992406,-1.0877246,9.464919,2.3243341,-0.2772721,0.06905638,-0.23559834,0.23071042,-0.57060117,-0.76056707,0.20669965,downstairs
-0.104035266,7.799678,3.9432852,1.1882102,-1.5216951,1.5411637,-1.1710035,9.432153,2.4152923,0.01780588,0.023250042,-0.15570357,0.23107143,-0.5687358,-0.7623752,0.20476744,downstairs
-0.913707,8.202118,4.714629,0.44462556,-1.3419523,2.254577,-1.2158308,9.44812,2.3291996,0.5301976,-0.033208925,0.037109118,0.23220763,-0.5714907,-0.7610337,0.20076291,downstairs
-0.34837407,12.91642,3.5743814,0.535614,2.904727,2.6538382,-1.1519568,9.50567,2.1179338,0.05402484,-0.20258583,0.12872179,0.22736092,-0.5865136,-0.752605,0.19466507,downstairs
-1.6994239,9.208219,1.9646199,-0.31400084,1.0259247,-0.2703334,-1.0914056,9.530988,2.0345752,1.2492504,-0.41776904,-0.019349847,0.22538473,-0.5879063,-0.7522009,0.19432372,downstairs
-1.134091,10.822771,-2.18914,-0.79334044,-0.70473385,-3.0678844,-1.0433258,9.620105,1.5923055,1.0724167,-0.28674164,0.028587012,0.22381774,-0.6072237,-0.73956853,0.18499565,downstairs
-2.6719882,9.3998575,-0.19610184,-1.6410824,0.47987366,-1.204572,-1.037078,9.715532,0.8386338,1.093722,-0.62869126,-0.18340042,0.22075683,-0.63750654,-0.7191041,0.1665566,downstairs
-1.0622267,10.458658,-1.2644852,-0.021497726,0.74574184,-1.8321782,-1.0698292,9.728246,0.62217,1.1959872,-0.9205735,-0.23559834,0.21918434,-0.6482564,-0.7121674,0.1566507,downstairs
-0.60229486,9.4333935,-0.8141353,0.78735805,-0.22934437,-0.7060901,-1.1301409,9.740652,0.11338558,1.3653642,-1.2486745,-0.14292042,0.20819132,-0.6733324,-0.6974596,0.12973057,downstairs
-0.7220688,9.227383,-0.66082466,0.5445479,-0.6459751,-0.25513732,-1.1566298,9.714997,-0.6718895,0.8636251,-1.023904,0.16600601,0.18627855,-0.7056749,-0.6769908,0.09490353,downstairs
-1.0526447,9.490885,-0.86683583,0.052615523,-0.123249054,0.05343187,-1.1229095,9.703683,-0.8648748,0.41727972,-1.1176472,0.16600601,0.16138387,-0.72268516,-0.66829807,0.07112733,downstairs
-1.0382719,9.553167,-0.6799885,-0.3233354,-0.09887695,0.29371142,-1.0967919,9.693269,-1.0039682,0.4471071,-1.1325608,0.17452812,0.15158391,-0.7271888,-0.6665981,0.06217448,downstairs
-0.31962833,9.21301,-1.0057735,0.77015924,-0.40588093,0.18175793,-1.1100898,9.673693,-1.1652306,0.49291342,-0.92909557,-0.083265655,0.12575014,-0.7413534,-0.65847886,0.031426106,downstairs
0.6816817,9.811879,-0.9099544,1.7164036,0.26212692,0.34515703,-1.2179257,9.634844,-1.3626502,0.5504376,-0.69047654,-0.25051203,0.12192237,-0.74472195,-0.6557056,0.023966322,downstairs
0.14988546,10.008308,-0.69915235,1.4993494,0.5023298,0.8628535,-1.3464384,9.584071,-1.5821065,0.4758692,-0.54133964,-0.104570925,0.1150206,-0.75276875,-0.64810526,0.008307505,downstairs
-0.16152675,9.581913,-1.3028129,1.1624829,-0.012862206,0.32255185,-1.2863603,9.566628,-1.7306911,0.377865,-0.7160429,0.030717539,-0.10069882,0.75947845,0.642687,0.002380244,downstairs
0.18342216,11.555788,-0.64166087,2.0372295,1.5312786,0.8235314,-1.2167882,9.574616,-1.7368112,-0.2250742,-0.3144385,0.1489618,-0.08136428,0.76312417,0.64096767,0.013485101,downstairs
-0.051334742,13.0122385,-0.7135252,1.0615517,2.8788004,0.90086937,-1.1167753,9.630781,-1.4735186,-1.0975251,-0.17808478,0.3822545,-0.06723668,0.7576571,0.64889574,0.019216673,downstairs
-2.3414123,8.992625,0.38839492,-0.65464187,1.0976801,2.3037603,-0.79698527,9.752246,-0.6548976,-2.7252476,-0.9983377,1.1843979,-0.04839017,0.732331,0.6790952,0.013394246,downstairs
-2.7630165,10.71258,0.005118363,-2.9570189,0.6604929,-1.2777487,-0.3200217,9.790298,0.4669452,-3.1502879,-1.5043378,1.6382002,0.005706542,0.6680424,0.7440787,0.005803463,downstairs
-0.6645773,12.092375,0.71418,-1.8852439,2.3778677,-1.8257179,0.54430705,9.645921,1.6823621,-1.444801,-0.70432496,1.8555139,-0.028428478,-0.64533347,-0.7633623,0.00381073,downstairs
1.4817716,9.797506,1.5861342,-0.047563672,0.7802906,-0.7346649,2.1631906,9.201495,2.6121802,-0.87914604,0.32685015,1.7489876,-0.09172711,-0.600193,-0.79253095,0.057001434,downstairs
1.0649583,8.077553,3.0042574,-1.6738335,-1.346941,-0.56395197,2.5927389,9.018774,2.8477716,-0.4402574,0.51646703,1.3846675,-0.1025538,-0.588694,-0.79808784,0.07731725,downstairs
-0.0561257,6.9708424,1.0351741,-3.3099406,-3.4053578,-2.436543,2.901027,8.781232,3.2625766,-0.4114953,1.199301,0.7433788,-0.09825015,-0.5706019,-0.8062512,0.121323414,downstairs
0.62419015,5.8545494,2.7455459,-2.6902413,-3.3062687,-1.0944636,2.665666,8.874136,3.2115893,0.35229865,0.2256501,-0.43799838,-0.08862636,-0.56963074,-0.807215,0.12676838,downstairs
3.2400527,5.8785043,2.3431053,0.14850307,-3.486713,-0.67558885,2.4577632,8.983427,3.0704782,0.7240756,-0.18234582,-1.0036533,-0.07156802,-0.58279216,-0.8014195,0.11383352,downstairs
2.5789008,6.530074,2.7742915,1.3127525,-2.532548,-0.6845772,2.042324,9.20994,2.6788666,0.68679136,-0.2238911,-0.8225586,-0.06556643,-0.59182507,-0.7969195,0.10180073,downstairs
1.764438,5.073623,0.99205554,-1.4303589,-3.3192978,-0.0488286,1.9301103,9.26724,2.5619,0.4556292,-0.07262368,-0.5626342,-0.055460133,-0.60456747,-0.78935003,0.09137247,downstairs
-0.4921028,9.035745,3.4306526,-2.1445,-0.6323271,1.4512126,1.3612599,9.459108,2.2005987,0.5898524,0.25334698,-1.0878092,-0.03606329,-0.61988235,-0.78028464,0.074841335,downstairs
0.45171577,9.457349,1.3417954,-0.3287549,0.13459969,-0.2129823,1.202257,9.499098,2.1194558,1.2098356,0.314067,-1.0824828,-0.013852537,-0.63326305,-0.7716017,0.05845404,downstairs
-1.8144069,7.095407,1.7538177,-1.6346061,-1.401144,0.11390102,0.42420688,9.708327,1.3186458,0.96162933,-0.6585186,-0.7714259,0.001039546,-0.64828116,-0.7599121,0.04758266,downstairs
-3.912846,8.901598,4.3169794,-3.516356,-2.340612,1.8148724,0.21503446,9.712557,1.3380525,-0.99632496,-1.5512094,0.018999642,0.001518534,-0.6604595,-0.7506405,0.018159406,downstairs
-1.9437628,5.5239735,-13.40477,-4.3866224,-7.688389,5.1676264,1.1491035,9.413641,2.496661,-2.9319088,0.46959546,1.4507138,-0.05311166,-0.61674106,-0.78490967,0.026952554,downstairs
0.67689073,20.984392,0.1680109,-3.1482139,6.834818,-5.155305,1.036787,9.422126,2.5137608,1.6934654,0.4930313,-1.0739608,-0.0316379,-0.6089605,-0.7912508,0.045697406,downstairs
-2.791762,9.0501175,1.1070385,-0.12064296,2.758892,-3.2494535,0.8019147,9.582298,1.9253272,1.2375325,-0.3463964,-0.23240255,-0.019310834,-0.64409316,-0.76383686,0.03639172,downstairs
-0.94724375,6.8989778,0.4123497,-2.0097122,-2.5713224,-0.9512371,0.6024196,9.701025,1.3029155,1.0969177,-0.34213534,-0.59672266,-0.01768567,-0.6582226,-0.75215054,0.026453918,downstairs
0.8206194,6.0174417,0.51775074,0.47373986,-3.5830278,-0.21492815,0.35778743,9.780906,0.61341023,0.81781876,-0.50831646,-0.17168252,-0.020462643,-0.68333393,-0.7298009,0.005169273,downstairs
1.0266306,6.9373055,1.8448459,0.8191197,-2.7322302,1.916184,0.29880625,9.790041,0.48600975,0.24044594,-0.18660688,-0.33466783,0.02328298,0.6885997,0.72476596,0.001627239,downstairs
1.0745403,5.7395663,2.06523,0.63768035,-3.8178387,1.482182,0.12523694,9.792932,0.503194,-0.446649,-0.7767629,-0.023610901,0.019161996,0.68879825,0.7246301,0.010048889,downstairs
2.794494,6.1372156,3.3492064,2.469834,-3.239376,2.5392902,0.2972963,9.759128,0.91730225,-1.9103211,-1.1847588,1.3591012,0.045418926,0.6716902,0.73893076,0.02739887,downstairs
1.654246,15.853275,2.1227214,0.79497576,6.815078,0.18132448,1.6056615,9.2349,2.8825045,-3.3356435,0.7945008,2.438213,-0.08728762,-0.6048534,-0.7915377,0.001144921,downstairs
3.1346517,20.596323,1.6819533,0.8629885,12.126893,-4.2838135,1.7610646,9.126816,3.1257443,-2.8200562,1.0277935,2.619308,-0.10463341,-0.5536853,-0.8249139,0.044737317,downstairs
1.6638279,8.618931,3.5743814,1.1648512,2.7269173,-1.3538711,3.037213,8.39165,4.0652113,0.42580184,-1.8814411,0.8136862,-0.14227693,-0.52256453,-0.8346161,0.100496285,downstairs
0.13551259,8.154208,5.2080975,-5.240468,-0.68823624,-0.38892174,3.5677958,8.281535,3.8545272,0.8007746,-0.9589229,0.40142927,-0.16051354,-0.52948123,-0.8273734,0.096634746,downstairs
-1.5461134,5.087996,2.1275125,-5.13566,-2.7104177,-1.4208593,3.6536615,8.40061,3.5001256,0.7389893,0.67625654,-0.5605037,-0.16082634,-0.5437629,-0.81749403,0.10079822,downstairs
-0.76997834,0.9342362,-0.17693801,-3.24542,-8.271903,-3.3372781,2.7737577,8.837347,3.2214832,0.875343,0.51007545,-2.126441,-0.124662645,-0.5634157,-0.81208724,0.086811766,downstairs
